Campagne;Annonceur;Responsable commercial;Nature;Etat planning;Prête à diffuser;Accord cadre;ODI envoyé;ODI reçu;début;Fin;Volume total prévu;Volume clic prévu;Brut prévu;Net prévu;Taux de remise prévu;Frais techniques prévus;CPM net prévu;Volume total diffusé;Volume clic diffusé;Net diffusé;Mandataire de Réservation
RAVATE.COM - 65984;ECOMRUN;JA;CL;Demande;Non;Non;Non;Non;01/02/2021;31/12/2021;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;ECOMRUN
RAVATE.COM - 65985;ECOMRUN;JA;CL;Demande;Non;Non;Non;Non;01/02/2021;31/12/2021;0;0;7000.00;7000.00;0.00;0.00;0.00;0;0;7000.00;ECOMRUN
ESPACE DECO - 68882;ESPACE DECO;BE;IN;Confirmée;Non;Non;Non;Non;17/06/2021;10/10/2021;116100;0;3703.70;3000.00;19.00;0.00;25.84;116100;0;3000.00;ESPACE DECO
JINA - 68131;FIJI SARL - GROUPE JINA;JA;CL;Confirmée;Non;Non;Non;Non;16/04/2021;31/12/2021;0;0;750.00;750.00;0.00;0.00;0.00;0;0;750.00;FIJI SARL - GROUPE JINA
JINA - 70622;FIJI SARL - GROUPE JINA;JA;CL;Option;Non;Non;Non;Non;02/08/2021;15/08/2021;0;0;150.00;150.00;0.00;0.00;0.00;0;0;150.00;FIJI SARL - GROUPE JINA
JINA MISS REUNION - 70397;FIJI SARL - GROUPE JINA;JA;MISS;Confirmée;Non;Non;Non;Non;31/07/2021;30/08/2021;170000;0;6002.65;4712.35;21.00;0.00;17.71;170000;0;4712.35;FIJI SARL - GROUPE JINA
JINA PARR FASHION REUNION - 70428;FIJI SARL - GROUPE JINA;JA;EXTWB;Confirmée;Non;Non;Non;Non;23/07/2021;23/08/2021;0;0;500.00;0.00;100.00;0.00;0.00;0;0;0.00;FIJI SARL - GROUPE JINA
BOSSINI PARR FASHION REUNION - 70426;FIKS;BE;EXTWB;Confirmée;Non;Non;Non;Non;23/07/2021;23/08/2021;0;0;500.00;0.00;100.00;0.00;0.00;0;0;0.00;FIKS
FRANCE PARE BRISE PARR SERIE - 70454;FRANCE PARE BRISE;TF1;EXTWB;Confirmée;Non;Non;Non;Non;01/08/2021;31/08/2021;0;0;250.00;250.00;0.00;0.00;0.00;0;0;250.00;HEAVEN
OKAIDI - 69996;GHANTY FRANCHISES;JA;CL;Confirmée;Non;Non;Non;Non;19/07/2021;16/08/2021;0;0;1000.00;650.00;35.00;0.00;0.00;0;0;650.00;GHANTY FRANCHISES
LECLERC RODZAFER ANNUEL - 67069;GIE DISTRI MASCAREIGNES;JA;CL;Confirmée;Non;Non;Non;Non;01/04/2021;31/12/2021;0;0;13500.00;13500.00;0.00;0.00;0.00;0;0;13500.00;GIE DISTRI MASCAREIGNES
INTERMARK - 67705;GROUPE IMPACT;JA;CL;Demande;Non;Non;Non;Non;01/04/2021;31/12/2021;0;0;1000.00;0.00;100.00;0.00;0.00;0;0;0.00;GROUPE IMPACT
INTERMARK - 70410;GROUPE IMPACT;JA;CL;Option;Non;Non;Non;Non;23/08/2021;05/09/2021;550000;0;2750.00;2350.00;15.00;0.00;4.27;550000;0;2350.00;GROUPE IMPACT
JARDICANE - 67244;JARDICANE;JA;CL;Confirmée;Non;Non;Non;Non;18/03/2021;28/02/2022;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;JARDICANE
BABYRUN PARR METEO - 70433;JFC IMPORT;FB;EXTWB;Confirmée;Non;Non;Non;Non;01/08/2021;31/08/2021;0;0;500.00;500.00;0.00;0.00;0.00;0;0;500.00;JFC IMPORT
KRYS - 70243;KRYS GROUP INTERNAT ET OUTRE MER;BC;FLS;Confirmée;Non;Non;Non;Non;23/08/2021;12/09/2021;88332;0;2526.31;2400.00;5.00;0.00;27.17;88332;0;2400.00;KRYS GROUP INTERNAT ET OUTRE MER
L'ETAL REUNION - 69858;L' ETAL REUNION;BE;CL;Option;Non;Non;Non;Non;01/07/2021;30/06/2022;0;0;12960.00;12960.00;0.00;0.00;0.00;0;0;12960.00;L' ETAL REUNION
BUT - 64863;L.B.D BUT SAVANNA SAS;JA;CL;Confirmée;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;L.B.D BUT SAVANNA SAS
FDJ -  KENO - 69907;LA FRANCAISE DES JEUX;BC;IN;Confirmée;Oui;Non;Non;Non;12/07/2021;01/08/2021;35597;0;1052.63;1000.00;5.00;0.00;28.09;35597;0;1000.00;NAUTILUS MEDIARSENAL
FDJ ILLIKO - 70339;LA FRANCAISE DES JEUX;BC;IN;Confirmée;Oui;Non;Non;Non;30/08/2021;12/09/2021;57416;0;1263.15;1200.00;5.00;0.00;20.90;57416;0;1200.00;NAUTILUS MEDIARSENAL
FDJ SLV 13  - AOÛT - 70295;LA FRANCAISE DES JEUX;BC;IN;Confirmée;Oui;Non;Non;Non;07/08/2021;13/08/2021;43062;0;947.36;900.00;5.00;0.00;20.90;43062;0;900.00;NAUTILUS MEDIARSENAL
LA ROCCIA PIZZA - 67276;LA ROCCIA PIZZA;AN;CL;Demande;Non;Non;Non;Non;18/03/2021;31/12/2021;0;0;1000.00;0.00;100.00;0.00;0.00;0;0;0.00;LA ROCCIA PIZZA
