campagne;campagne_(filtres);nom;format;etat;PAD;date_de_debut_prevue;date_de_fin_prevue;annonceur;Responsable commercial;volume_total_prevu;Groupe d'insertions
BOEUF PAYS - SICA REVIA - 61373;BOEUF PAYS - SICA REVIA - 61373;PREROLL 30S AR/LINFO;INSTREAM;Confirmee;Non;14/09/2020;23/09/2020;SICA REVIA (RAVINE DES CABRIS);BONJOUR Cyrille;49269;
BOIRON - 59286;BOIRON - 59286;INSTREAM 15S DAILYMOTION;INSTREAM;Confirmee;Non;29/06/2020;05/07/2020;LABORATOIRES BOIRON OCEAN INDIEN;BONJOUR Cyrille;9428;
BOIRON - 59286;BOIRON - 59286;INSTREAM 15S M6;INSTREAM;Confirmee;Non;29/06/2020;05/07/2020;LABORATOIRES BOIRON OCEAN INDIEN;BONJOUR Cyrille;7600;
BOIRON - 59286;BOIRON - 59286;<INSTREAM 15S TF1;INSTREAM;Confirmee;Non;29/06/2020;05/07/2020;LABORATOIRES BOIRON OCEAN INDIEN;BONJOUR Cyrille;4835;
BOIRON - 59286;BOIRON - 59286;<INSTREAM 15S LINFO/AR;INSTREAM;Confirmee;Non;29/06/2020;05/07/2020;LABORATOIRES BOIRON OCEAN INDIEN;BONJOUR Cyrille;31299;
BOIRON - 61739;BOIRON - 61739;INSTREAM 15S LINFO/AR;INSTREAM;Confirmee;Non;14/09/2020;20/09/2020;LABORATOIRES BOIRON OCEAN INDIEN;BONJOUR Cyrille;20041;INSTREAM 15S AR/LINFO/TF1/M6/DAILYMOTION
BOIRON - 61739;BOIRON - 61739;INSTREAM 15S M6;INSTREAM;Confirmee;Non;14/09/2020;20/09/2020;LABORATOIRES BOIRON OCEAN INDIEN;BONJOUR Cyrille;4241;INSTREAM 15S AR/LINFO/TF1/M6/DAILYMOTION
BOIRON - 61739;BOIRON - 61739;INSTREAM 15S DAILYMOTION;INSTREAM;Confirmee;Non;14/09/2020;20/09/2020;LABORATOIRES BOIRON OCEAN INDIEN;BONJOUR Cyrille;25176;INSTREAM 15S AR/LINFO/TF1/M6/DAILYMOTION
BOIRON - 61739;BOIRON - 61739;INSTREAM 15S TF1;INSTREAM;Confirmee;Non;14/09/2020;20/09/2020;LABORATOIRES BOIRON OCEAN INDIEN;BONJOUR Cyrille;3705;INSTREAM 15S AR/LINFO/TF1/M6/DAILYMOTION
BOURBON CONSEIL COMTESSE DU BARY - 63639;BOURBON CONSEIL COMTESSE DU BARY - 63639;OUVERTURE CATALOGUE ;-;Reservee;Non;01/12/2020;20/12/2020;BOURBON CONSEIL;AUFFRET Jerome;0;
